topic_id,created_date,title,posts_count,reply_count,last_post_date
17620,2026-03-30,System Down Query,6,1,2026-03-30
17618,2026-03-28,Grommp server-side issue in running NPT equilibration step,2,0,2026-03-30
17603,2026-03-25,Updating tools on the server that have been updated in the GitHub repo,5,1,2026-03-30
17609,2026-03-25,Problem when deleting data,2,0,2026-03-27
17613,2026-03-26,Change data type in a workflow,2,0,2026-03-26
17598,2026-03-23,Internal Server Error when Extracting Workflow,2,1,2026-03-23
17594,2026-03-20,Trimmomatic error when running SRA data,2,0,2026-03-20
17587,2026-03-18,Ouput unaligned reads into bam file with hisat2,2,0,2026-03-18
17573,2026-03-16,Error in SnpSift tool due to token ANN interpretation and out of memory,4,1,2026-03-18
17585,2026-03-18,You are not allowed to access this dataset,2,0,2026-03-18
17575,2026-03-16,Error while running Humann,6,3,2026-03-18
17580,2026-03-17,"Galaxy EU Server: Downtime March 16, 17 2026",3,1,2026-03-18
17500,2026-02-25,Missing genes in eggNOG-mapper output: How to explore results across processing steps,4,1,2026-03-16
17562,2026-03-11,Cluster on intervals error,6,2,2026-03-16
17563,2026-03-12,Error in SnpEff version,5,0,2026-03-14
17568,2026-03-13,GOEnrichment support,2,0,2026-03-13
17567,2026-03-13,MITOS2 missing reference data,2,0,2026-03-13
17555,2026-03-10,Bowtie2 mapping output,5,2,2026-03-12
17557,2026-03-10,Bug error from metabolomics workflows,2,0,2026-03-11
17538,2026-03-04,Question about interproscan,10,5,2026-03-10
17551,2026-03-09,Adding Custom PTM Modification in Maxquant Galaxy Tool Configuration,3,1,2026-03-10
17544,2026-03-05,Bad lineage by Nextclade,3,1,2026-03-06
16594,2025-12-23,NCBI BLAST+ blastx and blastp cannot work with new nr_2025-12-03,3,1,2026-02-28
16335,2025-10-02,Troubleshooting failed sequence alignment (Sanger),6,4,2026-02-28
17499,2026-02-25,iPHoP 1.4.2 – Cannot select database,4,1,2026-02-27
17493,2026-02-23,Troubleshooting: qiime2 feature-classifier fit-classifier-naive-bayes,5,3,2026-02-26
16461,2025-11-01,Kraken2 Database Addition GTDB v220,6,4,2025-11-05
17470,2026-02-19,Shovill producing blank contig graph file: Use Galaxy Version 1.1.0+galaxy2,8,4,2026-02-25
16577,2025-12-16,Qiime2 Import 2025.10 errors: Standardize your fastq sequence names,8,3,2026-02-25
4359,2020-08-26,Built-in reference dataset dada2 is missing,3,1,2026-02-25
17471,2026-02-19,Blast is not returning taxonomy results: Fetch Taxonomic Ranks,9,7,2026-02-24
17494,2026-02-23,remuRNA Fatal error: Exit code 127 (),2,0,2026-02-24
17464,2026-02-16,From Peaks To Genes Tutorial UCSC Main Errord,2,0,2026-02-17
17456,2026-02-13,PLINK bed/bim/fam files are only downloadable as html/tabular/text files,4,2,2026-02-16
17431,2026-02-07,PICRUSt2 Metagenome prediction,4,2,2026-02-12
11412,2024-01-05,"Problem on Picrust2 webtool, even with tutorial files",11,7,2026-02-12
17449,2026-02-11,Fasterq-dump and fastq-dump failing on usegalaxy.eu with connection validation error (sra-download-internal),4,1,2026-02-12
17405,2026-02-03,Job still running for more than 15 hours,10,7,2026-02-11
17440,2026-02-10,Make.contigs in a list:paired collection,2,0,2026-02-10
17408,2026-02-03,Extract Genomic DNA error box,9,5,2026-02-09
17430,2026-02-06,HUMAnN-setting-error,2,0,2026-02-07
17425,2026-02-05,Addition of several plots to MultiQC,4,2,2026-02-06
17401,2026-02-02,FastQC perl warning,4,1,2026-02-05
17406,2026-02-03,Distance Analysis - time series using MDAnalysis (Galaxy Version 1.0.0+galaxy0) tool inputs,3,0,2026-02-05
16538,2025-12-02,SplitNCigarReads Tool,2,0,2026-02-04
17284,2026-01-13,A tool that's not available on Galaxy EU,2,0,2026-02-04
16484,2025-11-10,Fastq files not uploading,21,10,2026-02-03
14480,2025-01-18,Toubleshooting BiG-Scape output,4,1,2026-02-03
17260,2026-01-09,Editing dependencies for training SNAP ab initio predictor,4,2,2026-02-02
17399,2026-02-02,GROMACS simulation thread allocation,2,0,2026-02-02
17246,2026-01-07,Tool Bar Search is not working,4,3,2026-01-30
17375,2026-01-27,"LUMPY and ""read only"" system",2,0,2026-01-27
16883,2025-12-30,IQ-TREE concordance factor outputs not collected as separate datasets,4,1,2026-01-23
17330,2026-01-20,QuPath is unable to save data,5,2,2026-01-23
17338,2026-01-20,Bedtools Intersect intervals results interpretation,6,3,2026-01-23
16508,2025-11-24,MMPBSA/MMGBSA tool-help,3,1,2026-01-23
17315,2026-01-18,GffCompare problem producing a combined gtf,2,0,2026-01-22
17293,2026-01-15,QIIME 2 feature-table summarize/classify-sklearn failed: Docker image decompression runs out of space,3,0,2026-01-21
17331,2026-01-20,rnaSPADES --nanopore: Confirming data format and shape for an input area,3,1,2026-01-21
17320,2026-01-19,How to retrieve a whole genome assembly data from NCBI to galaxy europe?,4,1,2026-01-19
17321,2026-01-19,Error in BWA-mem2 alignment,8,5,2026-01-19
17306,2026-01-17,VCF-comapre command not found,2,0,2026-01-19
17295,2026-01-15,Hg38 reference genome not found in the Ref genome options,2,0,2026-01-18
17277,2026-01-11,"""Uncaught exception in exposed API method:"" When starting workflows or selecting tools",2,0,2026-01-12
17103,2026-01-05,Fatal error in joining two datasets,6,4,2026-01-07
15137,2025-04-02,NCBI FCS GX doesn't launch,12,6,2026-01-05
17028,2026-01-04,Edta summary output,3,0,2026-01-05
16894,2025-12-31,Create new data repository from anonymous S3-compatible source,2,0,2026-01-02
16596,2025-12-24,DIAMOND análisis de DAA lleva días sin completarse,2,0,2025-12-26
16566,2025-12-10,Issue “No space left on device” error,4,1,2025-12-26
16592,2025-12-23,I want to retrieve my old account with complete research history,4,1,2025-12-24
16590,2025-12-22,"TMHMM 2.0 is outdated, can we add DeepTMHMM?",2,0,2025-12-23
16556,2025-12-09,Bismark Methyl Extractor with error,6,2,2025-12-16
16572,2025-12-14,Where is the Gecko-mgv webpage?,3,1,2025-12-15
16520,2025-11-26,GROMACS Initial Setup Error,4,1,2025-12-15
16573,2025-12-15,DRAM usage problem,2,0,2025-12-15
16574,2025-12-15,GO enrichment on up and down regulated genes on treated sample,2,0,2025-12-15
16567,2025-12-11,Hisat2 Disable Spliced Alignment or Not for DNA reads,6,4,2025-12-15
16568,2025-12-12,Why .nwk file showed as .txt file in galaxy,3,1,2025-12-12
16565,2025-12-10,Can usegalaxy.eu provide latest Kraken2 core_nt databases?,4,2,2025-12-11
16553,2025-12-08,Choosing datafiles for DESeq2,4,2,2025-12-09
16535,2025-12-02,Clarification on DESeq2 Factor Level Direction in Galaxy,2,0,2025-12-04
16477,2025-11-06,Using CHM13v2.0 T2T and mm39 gene annotations for RNASeq Analysis,4,1,2025-12-03
16533,2025-12-02,DESeq2 error: an error occurred with this dataset,5,2,2025-12-02
16527,2025-11-29,Is there a problem with fastqc,7,3,2025-11-30
16499,2025-11-17,Dada remove sequencing error -> Fatal error: Exit code 139 (),3,0,2025-11-24
16502,2025-11-18,Invocation scheduling failed - Galaxy administrator may have additional details in logs,7,4,2025-11-19
16489,2025-11-13,Tools for concatenating individually aligned loci into a supermatrix for downstream analysis,3,1,2025-11-13
16483,2025-11-10,Base mismatch in arabidopsis tair 10 ref genome,4,2,2025-11-12
16478,2025-11-07,Spider plot error,5,2,2025-11-12
16405,2025-10-17,ENA submission receipt: Excel input formatting and troubleshooting,10,5,2025-11-10
16460,2025-11-01,Kraken2 not running,11,10,2025-11-08
16327,2025-09-30,"Map with KMA using the parameter ""-t_db"" is not clear!",12,7,2025-11-06
16472,2025-11-05,Request: Add host-decontamination tool (KneadData) or a comparable tool on Galaxy.eu for human shotgun metagenomics preprocessing,3,0,2025-11-06
16441,2025-10-28,Downloading abundance (frequency) table of ASVs,4,2,2025-11-03
16466,2025-11-03,Minimap2 accepted formats,2,0,2025-11-03
16467,2025-11-03,Salmon Quant paired-end read entry,2,0,2025-11-03
16457,2025-10-30,MiRDeep2 Mapper: TAIR10 reference genome,4,2,2025-10-31
16456,2025-10-30,GalaxyEurope storage not refreshing,2,0,2025-10-30
16424,2025-10-27,Error: Convert GTF to BED12,2,0,2025-10-27
16429,2025-10-27,GROMACS NVT & NPT energy equilibration not available anymore,2,0,2025-10-27
16414,2025-10-22,Converting fastq to fasta for analysis with ABRicate or AMRFinderPlus,5,2,2025-10-23
16410,2025-10-20,Empty Output folder - Vina Docking,6,3,2025-10-21
16388,2025-10-14,RepeatExplorer - TAREAN annotation,2,0,2025-10-18
13982,2024-11-25,Fastq file not uploading,7,5,2024-11-26
16399,2025-10-16,Issue with obtaining tomtom results from meme-chip,5,3,2025-10-16
16390,2025-10-15,Bismark mapping with Fatal Error exit,3,1,2025-10-16
16371,2025-10-12,Workflows: job queues and managing partial failures with Resume and Replace!,4,2,2025-10-14
16376,2025-10-13,Long RepeatModeler Runtime on Galaxy.eu,2,0,2025-10-13
14454,2025-01-15,RSEM prepare reference,6,4,2025-10-09
16368,2025-10-09,Dada2: removeBimeraDenovo job runtime benchmarking,2,0,2025-10-09
16367,2025-10-08,Panaroo & PanTA: sample recognition troubleshooting,5,2,2025-10-08
16347,2025-10-04,Update to InterProScan database in InterProScan functional annotation tool at usegalaxy.eu?,2,0,2025-10-08
16361,2025-10-07,"Launched jobs that never start, since 6th October 2025",4,1,2025-10-08
16356,2025-10-07,Datatypes: Assign Datatype,3,1,2025-10-08
16350,2025-10-06,Tn Seq Analysis help,1,0,2025-10-06
16342,2025-10-03,FASTQ Barcode Splitter,7,3,2025-10-04
16338,2025-10-02,"Cannot find the custom genome ""Fly (Drosophila melanogaster): dm6 Full""",2,0,2025-10-02
16332,2025-10-01,Edge R is missing from my account,3,1,2025-10-02
13368,2024-09-03,Tcode (and other emboss programs),10,4,2025-09-29
15017,2025-03-16,Generating MD Topology (ACPYPE),7,2,2025-09-26
16252,2025-09-12,Repeatexplorer fails on single end input,14,7,2025-09-25
16289,2025-09-22,Some trouble with writting a wrapper,6,2,2025-09-25
16268,2025-09-17,Assembly: species specific coverage questions? See VPG resources!,2,0,2025-09-23
16278,2025-09-18,Error srnapipe when running analysis,3,0,2025-09-23
16271,2025-09-18,"Mitos2 Erorr, cant processing submitted",6,3,2025-09-23
16273,2025-09-18,Trimmomatic Output 4 Files?,2,0,2025-09-22
15665,2025-06-06,DRAM distill: Error while running,6,2,2025-09-22
16287,2025-09-22,MultiQC Fastqc problems,2,0,2025-09-22
16272,2025-09-18,Collection to separate files,2,0,2025-09-22
16251,2025-09-11,Nanoplot qc error,6,3,2025-09-17
16261,2025-09-16,Slow uploading of files,2,0,2025-09-16
16255,2025-09-15,Uploading files,2,0,2025-09-15
16250,2025-09-10,Installation of BEAST on Galaxy Europe,3,0,2025-09-12
15671,2025-06-08,"Qiime2, taxonomy, filtering",3,0,2025-09-11
16233,2025-09-05,Galaxy Collection Upload Not Working,6,4,2025-09-08
16226,2025-08-29,Multiple Sequence Alignment is not interactive,3,1,2025-09-02
16206,2025-08-23,Maker genome annotation pipeline (Galaxy Version 2.31.11+galaxy2) running for weeks,6,4,2025-08-28
16216,2025-08-26,Missing tools from the ASAIM MT workflow,2,0,2025-08-26
16211,2025-08-25,iPHoP job running for 6+ days on Galaxy Europe (880 genomes),4,2,2025-08-26
16192,2025-08-19,Cannot connect to usegalaxy.eu using Firefox,2,0,2025-08-19
16184,2025-08-18,Writing proper tests for a dynamic collection created through the discover_datasets tag,2,0,2025-08-18
16138,2025-08-10,msConvert can't proceed due to wine64: command not found,8,4,2025-08-13
16139,2025-08-11,Error occurred in dataset while running the workflow,5,3,2025-08-11
15327,2025-04-27,Docker error when using Funannotate functional annotation tool,5,2,2025-08-08
15766,2025-06-18,MiModd variant calling - running time,5,3,2025-08-07
16120,2025-08-06,Optional steps in workflow can't be connected to one another,3,1,2025-08-07
16119,2025-08-06,HISAT2 error for paired sample,2,0,2025-08-06
15647,2025-06-05,Tsv file upload fail for maaslin2,2,0,2025-08-05
15743,2025-06-15,"Help Needed: coverM Tool Fails with ""mkdir: cannot create directory ‘single/’: File exists"" Error",2,0,2025-08-05
15744,2025-06-15,"Shovill, several day run/queue for some run",2,0,2025-08-05
15770,2025-06-18,Getting information from database,2,0,2025-08-05
15778,2025-06-19,Newly launched BN rat genome assembly GRCr8 into the reference genome list?,2,0,2025-08-05
16077,2025-07-30,Funanotate missing depencies,4,2,2025-08-05
14278,2024-12-30,insight using Paraview interactive tool,5,2,2025-08-05
15814,2025-06-24,HiCUP Runtime and Tool Recommendations for Hi-C Analysis,2,0,2025-08-05
16073,2025-07-30,BRAKER3：There is an error with this dataset.,2,0,2025-08-04
16059,2025-07-29,NanoGalaxy not responding – stuck uploads and no job execution,5,1,2025-08-03
16053,2025-07-28,Jobs not running (including file upload) - fastq files,6,2,2025-07-29
16061,2025-07-29,Delays at UseGalaxy.eu after maintenance,2,0,2025-07-29
16021,2025-07-24,"Galaxy Europe maintenance - 48 hrs downtime between 18:30 (CEST) on Fri, July 25 and 19:00 (CEST) on Sun, July 27",2,0,2025-07-27
15621,2025-06-03,Issue with external SMTP server configuration in Galaxy installation via Ansible,2,0,2025-07-25
16000,2025-07-20,On obtaining current eggNOG data,2,0,2025-07-22
15856,2025-06-30,generate a common AnnotateMyID file from two different runs,4,2,2025-07-22
16005,2025-07-21,LotuS2 run is failing with my input data,3,0,2025-07-22
15894,2025-07-03,how to perfom Samtools view tagged.bam | grep -c “miRNAname” >> genome-basedcounts.tsv,4,2,2025-07-21
15984,2025-07-16,BRAKER3 permission issue,10,6,2025-07-18
15961,2025-07-11,HUMAnN/MetaPhlAn error,4,1,2025-07-15
15945,2025-07-10,Manta turn off depth option does not seem to work properly,6,4,2025-07-14
15967,2025-07-14,trimAl_use_inputfiel,2,0,2025-07-14
15702,2025-06-10,Problems downloading some collections from .eu,6,1,2025-07-12
15956,2025-07-11,BiG-SCAPE issue,2,0,2025-07-11
15946,2025-07-10,NanoFilt Tool - Galaxy,4,2,2025-07-11
15948,2025-07-10,Analysis of two identical biological paired-end bulk-RNA samples to derive highly expressed TFs,2,0,2025-07-10
15949,2025-07-10,Remove save tags for history and workflow annotation,2,0,2025-07-10
15397,2025-05-09,Apollo Create or Update Organism error,5,4,2025-07-08
15550,2025-05-26,CPT Phage Structural Workflow fails at step 25 and I can't access apollo,4,0,2025-07-08
15920,2025-07-08,Apollo Create Organism Naming Conflict Error,2,0,2025-07-08
15909,2025-07-07,Predict variant effects with VEP bug report,3,0,2025-07-07
15846,2025-06-28,DeepARG reference data,5,0,2025-07-03
15879,2025-07-02,Duration for running Pavian in Galaxy,5,2,2025-07-02
15867,2025-07-01,Uploading large file problem,5,2,2025-07-02
15830,2025-06-25,Mapping against a WGS reference,3,2,2025-07-01
15845,2025-06-28,Error in running braker3,2,0,2025-07-01
15849,2025-06-28,PhageTerm Error,2,0,2025-07-01
15865,2025-07-01,Large file upload problem,2,0,2025-07-01
15746,2025-06-16,Build expression matrix (RSEM) troubleshooting,2,0,2025-06-25
11203,2023-11-22,nextdenovo empty fasta files,3,0,2025-06-25
15752,2025-06-16,CustomProDB Job submission failed,2,0,2025-06-17
15737,2025-06-13,Phylogenetic classification: phage,4,2,2025-06-14
15732,2025-06-13,Batch input workflow - how to send jobs to distinct histories?,2,0,2025-06-13
15714,2025-06-12,Running FeatureCount,2,0,2025-06-12
15719,2025-06-12,Problems with snpEff databases,3,1,2025-06-12
15557,2025-05-26,Novoplasty inputs,5,2,2025-06-11
15704,2025-06-10,Format issues while trying yo use rnaviralspades,3,1,2025-06-11
15628,2025-06-03,RNA editing tools,2,0,2025-06-04
15606,2025-06-02,Flow of work against the type of data,3,1,2025-06-02
15574,2025-05-28,RNAseq mapping issues,8,6,2025-06-02
15586,2025-05-30,Exporting history as direct download,2,0,2025-05-30
15572,2025-05-28,Macs3 available in Toolshed but not on Galaxy instance,2,0,2025-05-28
15505,2025-05-21,DNA Methylation analysis,2,0,2025-05-28
15515,2025-05-22,Wrapper to create html tutorials from md files.,4,2,2025-05-23
15489,2025-05-19,uploading metadata file,3,1,2025-05-22
15385,2025-05-07,Is there a way to combine paired-end and single-read RNASeq for a genome annotation?,6,4,2025-05-19
15367,2025-05-03,BRAKER3 fails with 'Genemark not installed' error,2,2,2025-05-05
15449,2025-05-16,Galaxy is taking days to blast one sequence,2,0,2025-05-16
15421,2025-05-14,Tool Installation Request: icescreen,6,4,2025-05-16
15440,2025-05-15,Multivariate - error loading datasets,4,1,2025-05-16
15265,2025-04-21,Large discrepancies between processing identical files on Org vs EU site,5,5,2025-04-24
15407,2025-05-12,Map with BWA-MEM,2,0,2025-05-12
15380,2025-05-06,Storage Not Clearing,4,2,2025-05-07
15371,2025-05-05,Updating CARD database,3,1,2025-05-06
15360,2025-05-02,SNPeff and SNPsift version incompatibility?,5,3,2025-05-04
15340,2025-04-29,Mobile Genetic Elements,3,0,2025-05-02
15320,2025-04-25,MultiQC after featurecount,6,4,2025-04-28
15290,2025-04-24,Busco problem with choosing lineage,4,1,2025-04-28
15285,2025-04-23,Question [Interproscan Output: Missing Columns 12-15],2,0,2025-04-23
15262,2025-04-21,Maker and Braker 3 running for half a week - and still going,5,3,2025-04-23
15271,2025-04-22,GTDB-Tk database update to current version,3,1,2025-04-23
15258,2025-04-20,data upload issue,5,3,2025-04-22
15247,2025-04-17,Bakta database update,2,0,2025-04-17
15194,2025-04-08,Busco tool keeps crashing,10,6,2025-04-15
15212,2025-04-11,Need help flattening collections!,3,0,2025-04-11
15213,2025-04-11,Help with a regex,2,0,2025-04-11
15204,2025-04-09,The server closes my connection,3,0,2025-04-11
15138,2025-04-02,Galaxy Europe maintenance - downtime on April 9,4,0,2025-04-09
15178,2025-04-06,Forcefield.itp File not found during gromacs run despite uploading,2,0,2025-04-08
15141,2025-04-02,Kraken Report Issue,15,12,2025-04-07
15095,2025-03-26,How to map a collection of individual samples against a custom reference genome with RNA STAR,5,2,2025-04-06
15171,2025-04-04,"error with ""abims_xcms_retcor""",3,0,2025-04-05
15089,2025-03-25,"NCBI BLAST+ blastn: what does ""Maximum hits to consider/show"" do?",2,0,2025-03-31
15080,2025-03-25,Trouble connecting with FTP,2,0,2025-03-31
15118,2025-03-28,Deleted job still running,2,0,2025-03-29
15083,2025-03-25,BBTools: BBNorm,3,0,2025-03-28
15082,2025-03-25,Fastp - Collection,2,0,2025-03-28
14708,2025-02-12,Is there a way to merge collections with different structures? Or merge collections inside a list?,14,6,2025-03-26
15048,2025-03-19,Code Featurecounts 2.0.8+galaxy0 at UseGalaxy.eu,2,0,2025-03-21
15031,2025-03-17,BAM file from HISAT2 to fastq for Genome assembly,4,2,2025-03-18
14994,2025-03-13,Request to update BLASTP nr database,6,4,2025-03-14
14993,2025-03-13,Two Unipept tools - which one to use?,2,0,2025-03-14
14972,2025-03-12,Case-sensitive Select tool?,4,2,2025-03-13
14946,2025-03-09,How do I report a bug in a tutorial,2,0,2025-03-10
14939,2025-03-07,Protein domain and motif identification,2,0,2025-03-07
14938,2025-03-07,protein sequence,2,0,2025-03-07
14878,2025-02-27,goseq error in length and/or count files?,4,1,2025-03-05
14880,2025-02-27,CREx Matrix has Different Values,6,0,2025-03-05
14896,2025-02-28,BigWig track colour,2,0,2025-02-28
14891,2025-02-28,running BWA MEM2 on ONT fastq file: https://usegalaxy.eu/jobs/submission/success,2,0,2025-02-28
14848,2025-02-25,Bracken kmer distribution,2,0,2025-02-27
14827,2025-02-23,OrthoFinder not accepting FASTA collections?,3,1,2025-02-27
14842,2025-02-24,Memory Not Clearing,15,9,2025-02-26
14841,2025-02-24,Please install BLAST v2.12.0 for MOB-Suite v3.1.9,3,0,2025-02-25
14805,2025-02-20,blobtoolkit; error in the snail plot,2,0,2025-02-20
14333,2025-01-06,MOB-Typer unstable results,14,4,2025-02-20
14754,2025-02-17,DESeq2 for multiple groups,3,1,2025-02-20
13154,2024-08-07,troubles with footprinting tool,7,4,2025-02-19
14762,2025-02-17,AquaINFRA OGC API Processes,2,0,2025-02-19
14738,2025-02-14,Kraken2 and Bracken databases update,4,2,2025-02-19
14789,2025-02-19,Bracken database missed,2,0,2025-02-19
14792,2025-02-19,Strategies for Mapping to multiple reference genomes?,2,0,2025-02-19
14715,2025-02-13,"""PPanGGOLiN all"" error in https://usegalaxy.eu",6,2,2025-02-16
13528,2024-09-24,Database missing for GTDB-Tk tool,4,2,2025-02-14
13705,2024-10-17,gtdbtk_classify_wf Missing Database!,4,1,2025-02-14
14085,2024-12-05,SPAdes taking 18+ hours to complete,5,1,2025-02-14
14691,2025-02-10,Trouble using seqtk_trimfq,8,4,2025-02-13
14688,2025-02-10,"Having issues with my file formats, can't find ""Check Format"" section",10,5,2025-02-12
14660,2025-02-05,Cheatsheet: How to combine Spades Operation Mode and Pipeline options,5,3,2025-02-11
14678,2025-02-07,FLAIR app returning 0 lines of output,2,0,2025-02-11
14648,2025-02-04,Cant access tools,5,2,2025-02-10
14670,2025-02-06,Breseq fastq format troubleshooting,4,1,2025-02-08
14662,2025-02-05,Converting CSV files to Fasta for Trinity tool,2,0,2025-02-05
14567,2025-01-27,Feature count on exon level instead gene level,4,1,2025-01-28
