DOI	publication_year	team_member	member_key	assumed_join_year	title
10.1093/gigascience/giae062	2024	Rolf Backofen	rolfbackofen	2020	Deepdefense: annotation of immune systems in prokaryotes using deep learning
10.1093/nar/gkad1097	2024	Rolf Backofen	rolfbackofen	2020	Interrogating two extensively self-targeting Type I CRISPR-Cas systems in Xanthomonas albilineans reveals distinct anti-CRISPR proteins that block DNA degradation
10.1093/nar/gkad998	2024	Rolf Backofen	rolfbackofen	2020	Improved discovery of RNA-binding protein binding sites in eCLIP data using DEWSeq
10.1093/nar/gkae772	2024	Rolf Backofen	rolfbackofen	2020	SpacerPlacer: ancestral reconstruction of CRISPR arrays reveals the evolutionary dynamics of spacer deletions
10.1093/nargab/lqae089	2024	Rolf Backofen	rolfbackofen	2020	Clusters of mammalian conserved RNA structures in UTRs associate with RBP binding sites
10.1101/2024.02.12.579881	2024	Rolf Backofen	rolfbackofen	2020	RNAformer: A Simple yet Effective Model for Homology-Aware RNA Secondary Structure Prediction
10.1101/2024.08.29.610239	2024	Rolf Backofen	rolfbackofen	2020	The lincRNAPantr1is a FOXG1 target gene conferring site-specific chromatin binding of FOXG1
10.1101/2024.11.08.622607	2024	Rolf Backofen	rolfbackofen	2020	RNA-Protein Interaction Classification via Sequence Embeddings
10.1515/hsz-2023-0254	2024	Rolf Backofen	rolfbackofen	2020	Heterogenous nuclear ribonucleoprotein D-like controls endothelial cell functions
10.1093/bib/bbaf287	2025	Rolf Backofen	rolfbackofen	2020	Evaluating discrepancies in dimensionality reduction for time-series single-cell RNA-sequencing data
10.1093/femsml/uqaf007	2025	Rolf Backofen	rolfbackofen	2020	Disparate mechanisms counteract extraneous CRISPR RNA production in type II-C CRISPR-Cas systems
10.1093/gigascience/giaf037	2025	Rolf Backofen	rolfbackofen	2020	HVSeeker: a deep-learning-based method for identification of host and viral DNA sequences
10.1093/nar/gkaf433	2025	Rolf Backofen	rolfbackofen	2020	Structural determinants of inverted Alu-mediated backsplicing revealed by -MaP and -JuMP
10.1101/2025.03.07.641588	2025	Rolf Backofen	rolfbackofen	2020	Analysis of tracrRNAs reveals subgroup V2 of type V-K CAST systems
10.1101/2025.04.02.646798	2025	Rolf Backofen	rolfbackofen	2020	Comprehensive Analysis of CRISPR Array Repeat Mutations Reveals Subtype-Specific Patterns and Links to Spacer Dynamics
10.1101/2025.05.09.653049	2025	Rolf Backofen	rolfbackofen	2020	An evolutionary approach to predict the orientation of CRISPR arrays
10.1101/2025.08.24.671996	2025	Rolf Backofen	rolfbackofen	2020	AVDB: The Arab Variation and Disease Burden Database
10.1038/s44318-026-00769-1	2026	Rolf Backofen	rolfbackofen	2020	A leader-repeat hairpin blocks extraneous CRISPR RNA production in diverse CRISPR-Cas13 systems
10.1093/femsml/uqaf042	2026	Rolf Backofen	rolfbackofen	2020	The complexity of multiple CRISPR arrays in strains with (co-occurring) CRISPR systems
10.1093/femsml/uqaf043	2026	Rolf Backofen	rolfbackofen	2020	CoMPaseD: advanced planning of proteomic experiments aiming to identify small proteins
10.21203/rs.3.rs-8767029/v1	2026	Rolf Backofen	rolfbackofen	2020	A revised genome annotation of the model cyanobacterium Synechocystis based on start and stop codon-enriched ribosome profiling and proteogenomics
10.64898/2026.01.21.700974	2026	Rolf Backofen	rolfbackofen	2020	Enhanced IGFL1 translation in response to IL-1β is controlled by distinct 3’UTR elements
10.64898/2026.02.16.706169	2026	Rolf Backofen	rolfbackofen	2020	Biological Foundation Models Enable CRISPR Array Detection Without Metagenomic Assembly
10.64898/2026.02.20.26346743	2026	Rolf Backofen	rolfbackofen	2020	Structural variation landscape of Middle Eastern and North African individuals from long-read nanopore sequencing reveals medically relevant variants
10.64898/2026.03.11.711106	2026	Rolf Backofen	rolfbackofen	2020	DisGeneFormer: Precise Disease Gene Prioritization by Integrating Local and Global Graph Attention
10.1021/acs.jcim.2c00634	2022	Simon Bray	simonbray	2020	Ligand Unbinding Pathway and Mechanism Analysis Assisted by Machine Learning and Graph Methods
10.1101/2022.11.03.515010	2022	Wolfgang Maier	wm75	2022	Towards increased accuracy and reproducibility in SARS-CoV-2 next generation sequence analysis for public health surveillance
10.1371/journal.pgen.1010194	2022	Wolfgang Maier	wm75	2022	A novel membrane complex is required for docking and regulated exocytosis of lysosome-related organelles in Tetrahymena thermophila
10.1101/2024.05.08.593102	2024	Wolfgang Maier	wm75	2022	varVAMP: automated pan-specific primer design for tiled full genome sequencing and qPCR of highly diverse viral pathogens
10.1083/jcb.202409057	2025	Wolfgang Maier	wm75	2022	Importin-9 and a TPR domain protein MpH drive periodic patterning of ciliary arrays in Tetrahymena
10.1371/journal.pgen.1011735	2025	Wolfgang Maier	wm75	2022	Left-right cortical interactions drive intracellular pattern formation in the ciliate Tetrahymena
10.1038/s44320-026-00203-y	2026	Wolfgang Maier	wm75	2022	VEFill: accurate and generalizable deep mutational scanning score imputation across protein domains
10.64898/2026.08.25.746971	2026	Wolfgang Maier	wm75	2022	Tree-aware conditional language modeling recovers mutational patterns of viral evolution
